平均気温(℃)	平均湿度(％)	日照時間(時間)	平均風速(m/s)	平均蒸気圧(hPa)	平均現地気圧(hPa)	平均海面気圧(hPa)
18	74	13.9	1.7	14.9	1015.5	1016.2
20.9	62	13.8	2	14.9	1011.2	1011.9
23.2	60	10.7	2.9	16.7	1006.3	1007
19.1	80	5.9	2.5	17.5	1000.1	1000.8
19	70	10.3	4.2	15.3	1003.1	1003.8
21.1	64	13.4	3.1	15.7	1005.9	1006.6
21.5	65	12.2	2.9	16.5	1003.5	1004.2
19.1	76	1.1	5.9	16.8	1003	1003.7
19.2	66	10.8	2.9	14.4	1008.2	1008.9
21	66	10.4	2.7	15.9	1006.5	1007.2
18.6	79	4.4	2.6	16.9	1009.3	1010
16.5	71	6.7	2.6	13.4	1014.1	1014.8
16.7	72	8.3	2.2	13.7	1010.7	1011.4
16.8	87	1	2.1	16.7	1010.7	1011.4
18.3	79	13.6	1.8	16.5	1014.8	1015.5
19.1	83	6.3	2	18.3	1015.4	1016.1
18.9	86	6.7	2.3	18.8	1014	1014.7
17.8	82	1.8	3.1	16.8	1011.2	1011.9
17.7	71	10.4	2.5	14.3	1014.2	1014.9
19.9	60	3.6	6.5	13.8	1013.3	1014
20	69	0.1	4.7	16.1	1009.8	1010.5
21.7	81	4	2.4	20.7	1008.7	1009.4
22	80	7.5	2.4	20.7	1009.1	1009.8
24.2	69	7.8	1.8	20.3	1008.4	1009.1
23.6	78	4.9	2.6	22.7	1007.3	1008
23.2	83	4	2.7	23.2	1005.8	1006.5
22.5	86	6.7	1.6	23.3	1006.7	1007.4
24.6	77	10.8	1.8	23.5	1007.3	1008
25.9	75	5.2	2.5	24.6	1008.3	1008.9
26.2	75	1	3.5	25.4	1001.3	1001.9
26.6	75	10.5	4.1	25.9	1006.6	1007.2
27.2	69	7.9	2.7	24.5	1012.1	1012.7
24.2	91	0.2	3.4	27.5	1012.8	1013.5
27.9	73	8.1	2.4	27	1010.3	1010.9
28.6	66	11	3.1	25.5	1009.7	1010.4
28.1	69	8.1	3	26	1013.2	1013.8
27.6	72	13.9	2.4	26.4	1015.5	1016.2
26.8	79	14.2	1.8	27.6	1014.3	1014.9
26.8	82	7.7	1.9	28.5	1011	1011.6
26.4	82	6.1	2.6	28	1009.2	1009.8
27.5	77	8.3	1.9	28.3	1007.1	1007.7
27.3	79	12.9	2.2	28.3	1006.8	1007.4
26.1	85	10.3	2.1	28.5	1009.2	1009.9
26.8	72	13	2.5	25.3	1005.7	1006.3
26.8	66	13.9	2.2	23.2	1001.8	1002.4
27	75	13.6	1.9	26.7	1004.8	1005.4
27.2	78	10	1.7	28.2	1006.9	1007.5
25	89	0.1	2.5	28.2	1005.8	1006.5
26.6	78	10.2	2.4	27.2	1004.5	1005.1
27	68	3	5.3	24.1	1001.8	1002.5
26	78	7.2	1.8	25.9	1000.2	1000.8
26.6	77	9.4	2.7	26.7	999.3	999.9
26.4	78	3.3	2.7	26.9	1003.5	1004.1
25.7	82	3.5	3.5	27	1004.5	1005.2
25.2	83	0.9	1.9	26.4	1005.1	1005.7
24.5	92	0.6	1.9	28.3	999.9	1000.5
24.2	89	3.2	3.6	26.7	1002.7	1003.3
24.5	82	7.4	1.5	25	1007.4	1008
27.1	76	4.4	1.6	26.8	1009.3	1010
27.7	80	8.3	1.9	29.4	1009.8	1010.4
27.5	82	6.7	1.6	29.9	1011.2	1011.9
27.6	80	9.1	1.6	29.3	1013.5	1014.2
28	80	11.4	1.7	30	1015.1	1015.7
28.7	79	13.4	1.6	30.8	1014	1014.6
29.7	72	13.7	1.9	29.6	1013.1	1013.7
30.1	71	11.8	1.8	30	1012.1	1012.7
29.3	77	6.5	3	31.3	1012.2	1012.8
27.1	90	0.1	4.1	32.4	1008.7	1009.3
26.3	92	0.6	2.8	31.6	1006.9	1007.5
26.7	76	9	2.7	26.4	1006.1	1006.7
27.7	72	10.5	2.7	26.8	1007.4	1008
28.6	74	8.3	2.5	28.7	1009.3	1009.9
30.2	70	9.1	2.5	29.7	1009.5	1010.1
29.5	73	4	3.1	29.9	1008.7	1009.3
29.1	73	2.8	2.5	29.3	1009	1009.6
29.8	72	4.3	1.6	29.8	1007.8	1008.4
29.2	74	3	2	30	1006.4	1007
28.9	80	6.2	1.9	31.7	1006	1006.6
26.7	86	2.4	2.8	29.9	1005.7	1006.3
26.1	87	0.1	3.6	29.2	1003.1	1003.8
24.8	88	0.3	2.1	27.5	1008.4	1009.1
24.7	85	2.9	3.8	26.4	1003.7	1004.3
25.2	76	10.5	2	24.1	1005.1	1005.7
25.4	84	11.2	1.8	27.1	1004.9	1005.6
28.9	68	11.8	3.1	26.4	1005	1005.6
28.4	75	2	2.5	28.8	1004.5	1005.1
24.1	73	0.3	2.1	21.6	1007.7	1008.4
22.8	89	0.3	1.4	24.6	1005.7	1006.4
24.4	81	1.2	1.4	24.7	1005.5	1006.2
24.8	86	2	1.8	26.7	1006.3	1007
21.7	76	4.8	2	19.3	1013.6	1014.3
22.9	68	10.5	1.9	18.4	1016.8	1017.5
24.4	78	0.2	2.7	23.8	1012.9	1013.6
27.2	80	2.8	2	28.5	1007	1007.7
24.2	78	0.7	2.3	23.5	1016.3	1017
23.4	91	0.6	1.2	26.3	1015.7	1016.4
25.7	84	11.2	1.9	27.5	1014.5	1015.2
28.4	67	11.5	4.2	25.9	1012.1	1012.7
29.1	64	10.8	6.4	25.3	1006.8	1007.5
23.8	82	0.1	1.8	24.1	1015.3	1016
24.8	77	11.3	2.2	23.9	1015.9	1016.6
25.5	60	12.1	4	19.3	1014.2	1014.9
26.4	67	12	3.2	22.7	1013.6	1014.3
26	80	10.2	2.2	26.6	1015.1	1015.8
24.7	74	11.6	2.7	22.8	1016.6	1017.3
23.8	80	8.8	1.7	23.4	1013.5	1014.2
25.6	75	8.7	2.7	24.6	1011.9	1012.5
27.3	59	11	3.8	21.1	1011.7	1012.4
28.7	68	5	5.2	26.6	1007.6	1008.2
30.6	62	9.1	6.6	26.6	996.7	997.3
18	66	3.8	1.7	13.6	1016.9	1017.6
19.2	71	0.7	4.5	15.9	1017.4	1018.1
20.1	79	8.8	1.6	18.2	1015.9	1016.6
21.5	81	5.9	1.5	20.6	1016	1016.7
20.4	80	0.9	1.6	19	1015.1	1015.8
20.1	77	11.1	1.5	17.7	1013.4	1014.1
20.4	81	11.3	1.7	19.1	1015.6	1016.3
21	80	11.3	2.1	19.5	1017.2	1017.9
20.9	84	10.3	1.8	20.7	1020.3	1021
22.5	68	1.4	2.5	18.3	1018.8	1019.5
23.3	70	1.2	3.1	19.8	1010.1	1010.7
14.3	78	0.3	1.2	12.6	1020.9	1021.6
16.8	78	4.3	2.5	14.7	1019.9	1020.6
16.5	74	1	3.9	13.7	1021.9	1022.6
17.3	77	4.2	4.6	15.1	1014.6	1015.3
16.2	76	0.1	1.5	13.9	1025.1	1025.8
15.4	76	2.2	1.5	13.2	1024	1024.7
18.1	84	0.4	1.7	17.3	1018.7	1019.4
18.9	84	3.6	1.6	18.3	1018.2	1018.9
18.7	81	8.1	1.4	17.2	1017.1	1017.8
14	76	0.5	2.2	11.9	1015.3	1016
12.9	70	8.8	2.3	10	1022	1022.7
13.3	71	5.5	2.7	10.6	1026	1026.7
14.3	72	9.8	2	11.4	1024.7	1025.4
16.1	82	3.8	2.3	14.9	1017.5	1018.2
15.3	87	1.4	2.4	15.3	1012.7	1013.4
12.4	66	2	2	9.4	1015.6	1016.3
10.8	72	7.8	1.6	8.9	1021.5	1022.2
11	72	10.3	1.5	9.2	1026.6	1027.3
11.1	72	7.7	1.6	9.3	1025.2	1025.9
13.7	74	7.7	2.2	11.6	1023.5	1024.2
14.2	69	3.6	2.2	10.8	1023.4	1024.1
12.6	82	3	1.8	11.8	1023.4	1024.1
13.7	74	9.8	2.5	11.3	1024.3	1025
14.8	71	3.4	3.9	11.8	1020.4	1021.1
14.7	89	2.6	1.4	14.9	1017.9	1018.6
15.7	82	3.1	2.4	14.4	1013.2	1013.9
10.2	75	3.8	2.7	9.1	1019.8	1020.5
11	83	5.3	2.2	10.7	1022.5	1023.2
12.4	76	8.3	1.8	10.6	1021	1021.7
12.1	79	0.8	2.3	11.1	1020.5	1021.2
11.8	81	5.1	1.8	11	1025.2	1025.9
12.4	75	8.4	2.2	10.5	1023.6	1024.3
12.8	76	8.3	1.8	11.1	1026.5	1027.2
13.8	79	9.6	1.6	12.1	1021.8	1022.5
14.4	78	1.3	3.1	12.8	1009.5	1010.2
11.3	79	1.5	2.7	10.4	1013.8	1014.5
10.6	85	2.9	1.9	10.8	1010.7	1011.4
10.5	69	3.6	2.8	8.6	1015.9	1016.6
8.9	86	1.1	1.3	9.6	1023.5	1024.2
10.5	80	3.8	2.4	10.2	1024.2	1024.9
12.1	62	6.7	2.3	8.6	1024.5	1025.2
12.7	64	2.5	5	9.4	1021	1021.7
13.8	84	7.8	1.9	13.2	1017.8	1018.5
13.2	70	2.4	2.8	10.6	1021.1	1021.8
13.1	75	1.9	2.6	11.2	1013.6	1014.3
11.6	68	8.5	2.1	9.1	1019.7	1020.4
13.7	68	6	3.3	10.7	1012.8	1013.5
10	61	3.7	2.8	7.4	1021.2	1021.9
10.3	68	8.6	2.2	8.2	1023.4	1024.1
16.4	78	0.4	3.5	14.4	1010	1010.7
5.6	80	8.4	3.4	7.2	1022.8	1023.5
6.6	80	0.5	4	7.9	1013.8	1014.5
7.1	86	0.8	3.7	8.7	1015.5	1016.2
6.5	91	1.4	2.8	8.8	1020.4	1021.1
7.8	94	0.7	2.1	10	1017	1017.7
6.7	86	0.4	2.9	8.4	1015.4	1016.1
7.4	64	3.2	2.7	6.6	1019.6	1020.3
8.6	71	0.2	5.3	8	1010.1	1010.8
4.8	78	0.2	6.6	6.7	1009.8	1010.5
4	83	0.1	3.2	6.7	1015.1	1015.8
3.7	89	2.5	3.2	7.1	1015.1	1015.8
2.8	89	2.7	2.1	6.6	1015.9	1016.6
2	83	0.6	8.8	5.8	992.2	992.9
4.5	79	1.5	6.5	6.7	997.3	998
4.9	72	2	5.2	6.2	1006.9	1007.6
4	76	1.9	4	6.2	1014.6	1015.3
3.2	92	5.2	3.4	7	1022.3	1023
5.7	85	4.2	3.4	7.8	1020.6	1021.3
4.7	66	0.3	3	5.6	1024.4	1025.1
2.9	94	0.1	2.7	7.1	1023.4	1024.1
4.6	84	0.3	4.6	7.1	1019.3	1020
3.1	70	1.3	5.7	5.3	1021.1	1021.8
3.5	66	1.3	4.6	5.1	1019.7	1020.4
3.5	63	1	5	5	1019.7	1020.4
4	60	3.7	4.9	4.9	1023	1023.7
3.8	73	4.1	2.7	5.7	1020.7	1021.4
2.4	93	0.5	2.4	6.8	1013.1	1013.8
3.5	94	0.1	1.9	7.4	1020.2	1020.9
5.4	84	0.2	4	7.5	1016.9	1017.6
2.7	70	1.4	5.3	5.1	1021.3	1022
4.2	78	3.1	3.6	6.4	1024.3	1025
6.2	69	6.2	3.2	6.6	1023.7	1024.4
7.9	66	5.4	2.6	6.8	1018.3	1019
2.9	67	1.7	2.7	5	1022.2	1022.9
4	78	8.6	2.6	6.1	1020.6	1021.3
4.9	81	0.2	5.5	7	1015.1	1015.8
1.7	69	1.2	4.4	4.8	1024.6	1025.3
0.4	85	0.1	2.1	5.4	1025.5	1026.2
3.3	82	0.1	2.7	6.5	1017.2	1017.9
0.2	86	0.3	5.8	5.6	1005	1005.7
-3.3	72	1.3	7.3	3.5	1014.8	1015.5
-0.5	75	4.2	4.5	4.4	1010.3	1011
-0.5	88	0.2	2.8	5.2	1014.4	1015.1
-0.2	84	3.4	4.1	5	1012.4	1013.1
0.6	70	4.5	3.6	4.4	1018.7	1019.4
3.1	79	0.1	4.6	6	1011.2	1011.9
2.3	68	3.5	4.9	4.9	1019.8	1020.5
1.2	81	0.6	2.5	5.5	1017.4	1018.1
2.7	77	3.7	2	5.7	1023	1023.7
4	77	1.8	2.6	6.2	1020.9	1021.6
6.2	73	6.2	2	6.9	1019.2	1019.9
4.3	79	0.2	1.8	6.5	1019	1019.7
2.4	66	1.5	4	4.8	1028.9	1029.6
5.4	73	2.7	1.9	6.5	1021.2	1021.9
5.3	75	3.2	1.9	6.7	1021.6	1022.3
1.5	70	4.4	5.3	4.8	1013.8	1014.5
-0.2	75	3.3	4.8	4.5	1022.7	1023.4
1	77	2.1	2.5	5.1	1029.4	1030.1
4.8	67	3.9	3.2	5.7	1026.2	1026.9
7.1	80	2.3	3.1	7.9	1022	1022.7
2.2	72	0.2	5.3	5.1	1015.1	1015.8
0.2	75	1.3	4.6	4.6	1025.1	1025.8
1.7	78	0.1	2.3	5.4	1030	1030.7
3.6	78	1.5	2	6.3	1021	1021.7
6.8	80	0.6	1.7	7.9	1017.1	1017.8
3.3	69	1.6	4.6	5.4	1022.8	1023.5
3.1	67	4.3	4.6	5.1	1028.8	1029.5
4.8	59	9.8	2.7	5	1033.1	1033.8
7.3	55	10.8	3.4	5.3	1025.6	1026.3
10.6	64	7.6	3.5	8.1	1017.5	1018.2
5.4	78	0.2	3.4	7	1015.3	1016
4.5	72	1.4	2.9	6	1024.4	1025.1
5.3	72	2.7	2.7	6.3	1027.2	1027.9
4.4	68	10.9	1.7	5.5	1027.6	1028.3
5.6	74	9.7	1.4	6.6	1023.3	1024
9	62	8.1	2.8	6.6	1021.5	1022.2
11.4	54	9.9	3.5	7.1	1020.1	1020.8
12	59	8.9	2.3	7.9	1018.3	1019
9.9	81	1.3	2.9	10	1020.1	1020.8
8.8	70	10.1	1.5	7.6	1026.1	1026.8
13.4	55	8.5	4.2	8.1	1020	1020.7
6.1	75	6.2	2.2	7	1023.3	1024
10.6	52	11	2.4	6.1	1024.7	1025.4
9.6	70	2.2	2.7	8.2	1023.4	1024.1
7.2	55	7.6	2.2	5.6	1024.4	1025.1
6.7	72	11.4	2.7	6.7	1019	1019.7
8.9	54	11.4	1.8	5.8	1018.9	1019.6
12.6	57	9.5	2.1	8.1	1015.7	1016.4
13.8	62	11.3	2.1	9.6	1015.5	1016.2
18.3	64	5.6	6.2	13.3	1007.6	1008.3
11.4	86	2.3	3.1	11.8	1011.2	1011.9
9.2	66	4.2	2.3	7.7	1018.2	1018.9
8.6	66	6.4	2.6	7.3	1019.5	1020.2
7.6	65	11	2	6.7	1024.6	1025.3
7.4	66	11	1.6	6.7	1023.6	1024.3
9	58	11.7	1.5	6.4	1020.2	1020.9
13.4	58	11.2	3	8.4	1017	1017.7
11.5	75	10.2	2.3	10.1	1018.9	1019.6
9.5	74	11.9	2.5	8.7	1019.9	1020.6
9.8	79	11.8	2	9.4	1023.3	1024
10.6	70	11.5	1.7	8.5	1024.3	1025
14.7	55	5.5	2.3	9	1020.7	1021.4
17.2	61	0.1	2.5	11.8	1012.2	1012.9
14.7	89	0.1	2.7	14.9	1007	1007.7
10.1	74	2.3	5	9.4	1008	1008.7
8.1	62	6.7	4.9	6.5	1017.3	1018
11.8	56	12.1	2.8	7.4	1017.8	1018.5
15.6	50	9.9	2.5	8.4	1014.4	1015.1
10.9	77	2.4	2.8	10	1012	1012.7
12.6	46	11.3	3.3	6	1016.9	1017.6
14.4	54	2.6	2.1	8.7	1015.7	1016.4
15.5	68	0.5	4.4	11.9	1004.1	1004.8
12.6	84	1.6	4.5	12.3	999.2	999.9
9.4	72	1	3.8	8.5	1013.9	1014.6
10.5	78	2.6	2.4	9.7	1016.9	1017.6
12.6	85	8.4	1.8	12.4	1012.4	1013.1
17.6	73	11.5	2.6	14.5	1008.7	1009.4
13.8	66	0.9	3.1	10.8	1009.9	1010.6
11	43	9	3.4	5.5	1017.8	1018.5
10.6	48	12.3	3.7	6.1	1023.2	1023.9
10.3	46	9.6	2.8	5.6	1025.3	1026
12	58	8.4	3.3	8.1	1019.5	1020.2
12.7	64	8.8	2.2	9.2	1019.7	1020.4
15.5	60	12.4	1.8	9.9	1020.2	1020.9
16.8	61	9.7	2	11.5	1011.1	1011.8
15.3	61	9.4	3.7	10.1	1012.8	1013.5
13.6	68	9.6	3.2	10.5	1023.5	1024.2
15.4	52	11.4	2.1	8.4	1024.1	1024.8
17.1	61	12.9	2.2	11.5	1019.3	1020
18.8	61	10.1	2.1	12.9	1012.2	1012.9
10.7	87	1.2	2.8	11.2	1009.1	1009.8
12.8	67	13	1.7	9.5	1015.6	1016.3
14.2	73	13	2.2	11.5	1016.2	1016.9
12.9	73	12.8	2.1	10.7	1020.7	1021.4
12.7	67	13	2	9.6	1020.9	1021.6
17.1	66	7.8	2.4	12.5	1017.2	1017.9
18.1	69	1.3	5	14.1	1012.7	1013.4
17.6	77	3.6	2.9	15.4	1010.2	1010.9
18	77	11.8	1.7	15.5	1012.3	1013
21.5	60	12.3	3.4	15	1013.5	1014.2
22.3	60	10.6	2.2	15.6	1013.2	1013.9
18.7	84	13.2	2	17.9	1008.1	1008.8
20	77	8.7	2.9	17.9	1007.2	1007.9
18.2	71	6.4	2.4	14.7	1006.9	1007.6
15.4	79	0.3	2.1	13.8	1005.2	1005.9
15	69	6.9	3.1	11.7	1013.5	1014.2
16.8	69	7.6	1.6	13	1020.7	1021.4
17.9	77	0.5	2.4	15.7	1022	1022.7
20.6	73	8.3	1.8	17.5	1021.4	1022.1
18	83	2.3	2.6	17.2	1010.4	1011.1
17.5	63	14	2	12.3	1012.8	1013.5
20.1	57	10	1.9	13.2	1010.1	1010.8
18.7	77	8.9	4.2	16.5	1002.4	1003.1
19.9	72	10.3	4.4	16.5	1007.3	1008
21.2	67	12.2	3.1	16.7	1009.1	1009.8
22.4	54	11.1	2.1	14.3	1007.3	1008
21.3	72	10.9	2.5	17.9	1009	1009.7
22.9	67	5.5	2.5	18.3	1009.7	1010.4
20.4	83	0.4	4.1	19.8	1005.1	1005.8
21.2	84	5.1	1.6	21	1010.7	1011.4
22.9	78	0.3	1.8	21.6	1006.8	1007.4
22.5	85	6	1.7	23.1	1004.3	1005
22.6	88	1	1.6	23.9	1005.9	1006.6
20.6	89	0.6	2.8	21.5	1009.8	1010.5
22.5	75	12.1	2.9	20	1012.6	1013.3
23.5	70	12.6	3	19.8	1007.5	1008.2
21	71	13.7	2.9	17.5	1007.1	1007.8
20.9	73	13.3	2.4	18	1010.1	1010.8
25.4	53	4.9	4.3	16.8	1008.6	1009.2
21.7	69	0.1	4.8	17.7	1006	1006.7
22.1	81	3	2.6	21.4	1007.2	1007.9
22.9	81	6.5	2.3	22.4	1013.5	1014.2
22.7	80	9.9	1.8	22	1015.4	1016.1
22.8	79	11.4	1.4	21.8	1013.8	1014.5
24.2	84	1.5	2.3	25.4	1012.5	1013.1
24.7	90	0.9	2.5	27.7	1009.7	1010.4
25.3	83	5.9	2.6	26.5	1006.2	1006.9
24.4	80	7.8	2.2	24.4	1008.2	1008.8
24	79	8.3	3	23.4	1007.7	1008.4
22.9	80	11.4	2	22.3	1005.5	1006.2
24.5	74	4.8	3.4	22.4	1000.1	1000.7
25.9	76	12.5	3.7	25.1	1002.7	1003.3
27.4	68	4.3	1.8	24.2	1007	1007.7
24.6	94	0.1	2.1	29	1005.4	1006.1
26.6	87	3	2.5	30.1	1006.6	1007.3
27.2	78	3.5	3.2	28	1007.8	1008.4
24.8	89	0.8	3.7	27.7	1005.6	1006.3
25.3	78	9.4	2.8	24.9	1006.8	1007.5
26.6	80	0.1	2.5	27.4	1006.2	1006.8
28.5	75	2.9	2.8	28.7	1010.2	1010.8
28.9	74	12.3	2.4	29.2	1013.7	1014.3
27.1	78	0.3	2	27.9	1012.7	1013.3
24.3	92	0.2	2.3	27.9	1005.1	1005.8
24.3	83	9.3	2	25	1008.1	1008.8
25.3	81	12.4	1.9	26	1013.8	1014.5
26.5	79	13.4	1.7	27.1	1016.4	1017.1
28	76	13.4	2.3	28.5	1014.3	1014.9
28.9	73	12.7	2.1	28.7	1013.1	1013.8
29.2	72	12.9	2.1	28.8	1014.8	1015.4
29.1	75	13	2.1	29.7	1015.7	1016.3
28.9	75	13.1	1.9	29.5	1014.8	1015.5
28.8	76	13.4	1.7	30	1015	1015.7
29.1	77	13.2	1.8	30.8	1015.6	1016.2
29.8	75	10.4	1.9	31	1014.6	1015.2
29.5	76	5.6	2.2	30.9	1013.1	1013.7
28.9	74	10.8	2	29.5	1011.8	1012.4
29.4	68	10.9	2.2	27.7	1010.3	1010.9
30.4	62	11.4	2.2	26.6	1008.4	1009
30.3	68	11.3	2.3	28.9	1006.4	1007
30.3	73	13.1	2.4	31.1	1003.1	1003.7
30.6	71	12.1	2.8	31	1000.9	1001.5
31.6	63	9.1	3.6	29	1002.8	1003.4
32	60	10.4	5.7	28.3	1005.6	1006.2
32.8	60	11.9	6	29.6	1007.8	1008.4
32.2	54	13.3	7.6	25.6	1007.4	1008
30.5	63	13.3	4	27	1006	1006.6
28.8	77	3	2	30.6	1003.3	1003.9
29.5	74	11.2	2.1	30.5	1003.4	1004
32.3	62	11.3	5.4	29.4	1002.6	1003.2
31.8	61	8.9	7.2	28.2	1000.8	1001.4
30.8	65	2.3	5	28.4	1001.5	1002.1
29.8	76	11.7	1.9	31.7	1006.5	1007.1
29.9	77	11.9	1.9	32.1	1009.1	1009.7
30.1	76	10.5	2	32.1	1011.3	1011.9
29.9	78	12.6	1.9	32.6	1011.7	1012.3
29.9	77	12.3	1.9	32.2	1010.1	1010.7
31.5	68	12.9	3.1	30.8	1008.9	1009.5
32.6	62	10.9	3.7	30.2	1009.2	1009.8
31.9	65	12.9	2.9	30.1	1010.3	1010.9
31.2	69	12.9	2.3	31	1009.6	1010.2
30.2	74	6.1	2.3	31.7	1009.2	1009.8
29.6	71	10.8	2.7	29	1007.6	1008.2
27.8	80	6.2	2.2	29.8	1008.4	1009
29.4	72	12.5	1.7	29.2	1011.9	1012.5
30.4	71	9.2	2.2	30.3	1013.7	1014.3
31.3	63	8.4	2.6	28	1013.5	1014.1
30	61	8.8	2.4	25.1	1013	1013.7
27.4	72	0.9	1.9	26.4	1012.7	1013.4
28.4	75	11.9	2.4	29	1012.7	1013.4
29.6	66	1.4	2.5	27.1	1009.5	1010.1
28.8	79	5.8	2.7	31.2	1007.5	1008.1
25.5	90	0.3	1.8	29.3	1007	1007.7
25	77	9.2	2.5	24	1011.4	1012.1
24.8	72	0.3	2.7	22.4	1009.8	1010.5
27.2	75	7.9	2.1	26.9	1008.3	1009
27.9	79	9.5	1.8	29.6	1010.6	1011.2
29.5	72	5.9	2.4	29.1	1010	1010.6
27.6	79	8.4	2.4	29	1011.4	1012
26.8	83	8.2	1.8	28.8	1012.6	1013.3
27.7	76	5.8	2.8	27.7	1011.7	1012.3
25.6	85	1.6	1.8	27.9	1014	1014.7
26.6	84	4.5	1.2	29.4	1013.8	1014.4
28.9	77	11.1	1.8	30.4	1012.5	1013.1
27.7	80	4.2	2.2	29.6	1013.7	1014.3
25.9	88	4	2.1	29.1	1012.8	1013.5
25.6	83	1.7	2.3	27.1	1012.4	1013.1
25.2	82	0.4	3.4	26.1	1006.5	1007.1
23.9	77	0.9	1.9	22.7	1012.2	1012.9
23.1	59	7	2.2	16.5	1016.9	1017.6
21.4	70	11.5	2.3	17.2	1019.9	1020.6
22.9	56	5.8	4.4	15.6	1017.7	1018.4
21.2	95	0.1	2.1	23.9	1010.3	1011
23	92	0.6	3.1	25.9	1008.3	1009
22.5	75	5.1	1.8	20.2	1013.1	1013.8
21.7	81	1.8	3.2	20.7	1007.8	1008.5
20.8	58	6	2.8	14.1	1013.8	1014.5
19.6	66	8.7	2	14.5	1018.2	1018.9
20.3	71	4.6	3.2	16.7	1011.2	1011.9
18.7	74	0.8	4.7	15.8	1002.7	1003.4
18.2	54	4.9	6.4	11.3	1009.7	1010.4
17.8	67	4.8	3.8	13.3	1018.4	1019.1
17.5	72	7.2	2.5	14.1	1024	1024.7
18.1	90	0.4	2.1	18.5	1011.1	1011.8
17.9	64	5.8	2.2	12.7	1020.3	1021
15.6	72	10	1.6	12.5	1022.1	1022.8
15.5	72	10.1	1.6	12.3	1017.5	1018.2
15.9	74	10.5	1.8	13.2	1011.1	1011.8
18.5	71	5.8	2.9	15.1	1009.2	1009.9
16.9	63	6.6	3.1	12	1016.2	1016.9
16.5	74	8.9	1.5	13.7	1020.3	1021
18.4	74	8.9	2.5	15.4	1016.1	1016.8
16.8	82	1.2	3.5	15.6	1006.3	1007
12	77	0.3	3.4	10.7	1012.1	1012.8
12.4	73	4.2	2.9	10.5	1020.8	1021.5
14.4	82	3.4	1.8	13.3	1022.2	1022.9
16.2	79	10.1	1.6	14.4	1020	1020.7
16.5	77	8	1.7	14.2	1015.8	1016.5
15.8	79	8.4	1.8	14.1	1013.7	1014.4
15	82	1.6	1.7	13.8	1010.2	1010.9
14.6	89	0.3	2.5	14.8	1010.6	1011.3
14	87	0.2	2.6	13.9	1016	1016.7
14.4	93	0.6	1.9	15.3	1020.9	1021.6
15.5	83	6.6	1.5	14.5	1021.9	1022.6
16.5	74	9.5	2.2	13.4	1018.8	1019.5
16.6	88	5.1	2.6	16.6	1017.5	1018.2
17.9	72	9.7	2.4	14.1	1017.5	1018.2
15.5	84	1	1.4	15	1022	1022.7
18.1	83	6.4	2.2	17.1	1024.9	1025.6
21.8	63	1.8	5.5	16.3	1012.5	1013.2
17.1	75	1.2	5.3	14.7	1011.6	1012.3
13.4	69	3.7	1.7	10.5	1022.9	1023.6
14.9	69	9.3	2.7	11.1	1022.7	1023.4
9.2	66	3	4.3	7.6	1023	1023.7
7.8	79	0.1	2.1	8.3	1017.5	1018.2
8.5	73	5.6	4.3	7.9	1015.7	1016.4
10.8	71	2.4	2.9	9.1	1022.2	1022.9
10.4	76	8.2	1.5	9.3	1024.5	1025.2
12.8	65	7.8	3.2	9.2	1022.8	1023.5
8.3	80	0.3	5.7	8.8	1000.7	1001.4
13.1	73	3.7	5.7	11	1009.4	1010.1
10.8	67	2.7	5.3	8.6	1015	1015.7
9.8	75	7.6	1.4	9	1021.8	1022.5
10.8	78	9.6	1.7	10	1018.5	1019.2
12.7	74	4.8	2.3	10.7	1011.3	1012
11.7	74	0.2	6.2	10.4	1010.5	1011.2
6	64	0.4	5.5	6	1026	1026.7
7.6	77	5.1	2.1	7.9	1023.1	1023.8
9.4	94	1.6	2.2	11	1014	1014.7
6.1	73	0.3	4.7	6.9	1015.6	1016.3
4.4	93	0.1	2.1	7.8	1020.1	1020.8
6.9	81	4.8	2.8	8	1021.9	1022.6
6.4	74	3.7	2.4	7	1018	1018.7
9	74	8.1	1.8	8.4	1011.5	1012.2
8.5	75	0.6	5.3	8.3	1007.1	1007.8
9.2	85	2.8	2.6	9.8	1018.5	1019.2
10.6	71	8.5	2.5	9	1019	1019.7
9.1	62	1.6	2.3	7.2	1024.5	1025.2
7.9	63	2.2	3.5	6.7	1027.7	1028.4
7.1	76	5.3	1.6	7.6	1029.1	1029.8
14.1	83	0.5	5.6	13.5	1005.5	1006.2
3.1	84	0.2	7.1	6.4	1014.3	1015
2	75	0.8	4	5.3	1027.9	1028.6
2.5	90	1.7	2.4	6.6	1026.3	1027
2.3	97	0.4	3.4	7	1022.1	1022.8
5.1	85	0.2	4.5	7.5	1022.4	1023.1
4.8	68	3	3.7	5.7	1029.1	1029.8
4.2	77	7.5	2	6.2	1025.4	1026.1
7.4	88	0.9	2.3	9	1021.9	1022.6
6.3	88	3.2	1.8	8.4	1020	1020.7
6.7	88	0.1	2.7	8.7	1007.8	1008.5
6.1	65	0.4	4	6.1	1022.2	1022.9
3.8	80	2.3	2.3	6.3	1020.4	1021.1
7.3	72	4.6	2.8	7.3	1015.9	1016.6
7.8	75	6.8	3.8	7.9	1018	1018.7
7.9	91	0.1	1.8	9.7	1012.9	1013.6
1.8	75	3.7	4.4	5.2	1019.5	1020.2
3.2	85	2.2	3.4	6.6	1016.4	1017.1
